nome_azienda,settore,anni_attivita,fatturato,debiti,ritardo_medio_pagamenti,crescita_fatturato,rapporto_debiti,punti_debiti,punti_ritardo,punti_totali,rischio_finale
Azienda_27,Tecnologia,39,1228049,955614,118,6.4,0.7781562462084167,1,2,3,Alto
Azienda_28,Edilizia,29,1033049,540677,66,27.0,0.5233798203183004,1,1,2,Medio
Azienda_29,Turismo,26,528007,1352147,87,19.9,2.56085051902721,2,1,3,Alto
Azienda_30,Turismo,35,894573,997083,86,29.9,1.1145909836312968,2,1,3,Alto
Azienda_31,Tecnologia,25,1515585,1171459,58,-2.5,0.7729418013506336,1,1,2,Medio
Azienda_32,Turismo,24,1417290,762501,71,18.4,0.5379992803166607,1,1,2,Medio
Azienda_33,Turismo,13,1324732,387952,53,0.1,0.2928531959671843,0,1,1,Basso
Azienda_34,Alimentare,7,1267540,112221,110,4.0,0.08853448411884438,0,2,2,Medio
Azienda_35,Tecnologia,36,575303,1030117,100,11.4,1.790564276563828,2,2,4,Alto
Azienda_36,Manifattura,20,1160389,799666,66,23.7,0.6891361431382063,1,1,2,Medio
Azienda_37,Tecnologia,1,77712,260669,50,29.2,3.3542953469219685,2,1,3,Alto
Azienda_38,Manifattura,8,1723361,759224,96,18.4,0.44054843993800485,0,2,2,Medio
Azienda_39,Alimentare,16,1865790,839873,91,0.9,0.4501433709045498,0,2,2,Medio
Azienda_40,Edilizia,14,162816,525134,110,1.1,3.225321835691824,2,2,4,Alto
Azienda_41,Turismo,12,1227354,1389959,7,16.9,1.1324841895655207,2,0,2,Medio
Azienda_42,Alimentare,23,1685156,244761,33,-8.1,0.14524530666597038,0,1,1,Basso
Azienda_43,Turismo,15,335977,832946,34,-14.5,2.479175657857532,2,1,3,Alto
Azienda_44,Edilizia,28,185230,874668,95,-2.3,4.722064460400583,2,2,4,Alto
Azienda_45,Edilizia,34,1816616,137541,87,-5.6,0.07571275382359288,0,1,1,Basso
Azienda_46,Alimentare,2,856741,947609,77,-5.2,1.1060623922515673,2,1,3,Alto
Azienda_47,Edilizia,32,319114,64323,31,-8.3,0.2015674649184931,0,1,1,Basso
Azienda_48,Manifattura,23,1433194,616210,119,-17.9,0.4299557491867814,0,2,2,Medio
Azienda_49,Edilizia,22,1054208,1237715,45,-19.1,1.1740709613283147,2,1,3,Alto
Azienda_50,Turismo,25,1931548,1229024,106,29.4,0.6362896495453387,1,2,3,Alto
Azienda_51,Turismo,22,201456,954480,15,1.4,4.737908029544913,2,0,2,Medio
Azienda_52,Turismo,22,1903025,235659,67,-0.8,0.12383389603394596,0,1,1,Basso
Azienda_53,Turismo,6,912312,389678,115,14.0,0.4271323845351152,0,2,2,Medio
Azienda_54,Manifattura,15,1204146,854016,36,-9.1,0.7092296116916055,1,1,2,Medio
Azienda_55,Tecnologia,37,320846,1153113,53,27.5,3.5939765494972664,2,1,3,Alto
Azienda_56,Alimentare,33,50404,864909,84,19.3,17.159530989604,2,1,3,Alto
Azienda_57,Turismo,8,1008447,241983,13,-15.5,0.23995609090016629,0,0,0,Basso
Azienda_58,Edilizia,5,753286,788260,94,0.9,1.046428580910836,2,2,4,Alto
Azienda_59,Turismo,39,1373483,1050493,54,24.0,0.7648387348077843,1,1,2,Medio
Azienda_60,Edilizia,4,1772320,282762,47,27.2,0.15954342330956034,0,1,1,Basso
Azienda_61,Edilizia,6,765460,786275,81,3.4,1.027192799101194,2,1,3,Alto
Azienda_62,Turismo,32,934574,1416012,6,10.7,1.5151416581244503,2,0,2,Medio
Azienda_63,Manifattura,30,1763796,571650,73,-11.6,0.32410210704639314,0,1,1,Basso
Azienda_64,Edilizia,35,285365,282272,6,29.6,0.9891612496276698,1,0,1,Basso
Azienda_65,Edilizia,16,392786,385925,32,-8.4,0.9825324731533202,1,1,2,Medio
Azienda_66,Turismo,13,1149188,766641,22,27.1,0.6671153893009673,1,0,1,Basso
Azienda_67,Edilizia,30,860006,714743,84,12.5,0.8310907133206047,1,1,2,Medio
Azienda_68,Edilizia,19,1908532,589833,18,10.4,0.3090506211056456,0,0,0,Basso
Azienda_69,Turismo,17,250244,1130756,111,5.6,4.51861383289909,2,2,4,Alto
Azienda_70,Turismo,19,1895924,403081,18,-8.5,0.21260398623573518,0,0,0,Basso
Azienda_71,Alimentare,28,1103385,919723,35,-11.2,0.8335467674474458,1,1,2,Medio
Azienda_72,Manifattura,26,213273,301953,28,-9.0,1.4158050948783953,2,0,2,Medio
Azienda_73,Manifattura,37,1807266,378892,59,-10.7,0.20964927133028563,0,1,1,Basso
Azienda_74,Edilizia,26,1243104,5287,81,19.0,0.0042530632996112955,0,1,1,Basso
Azienda_75,Manifattura,23,1605540,1306241,1,-2.5,0.8135835918133463,1,0,1,Basso
Azienda_76,Edilizia,9,1548189,1057088,0,-17.1,0.6827900211149931,1,0,1,Basso
Azienda_77,Alimentare,12,1137341,656702,46,28.5,0.577401148819923,1,1,2,Medio
Azienda_78,Turismo,1,1930114,1157448,68,24.2,0.5996785682089244,1,1,2,Medio
Azienda_79,Turismo,1,1414652,93070,19,26.4,0.06579003175339235,0,0,0,Basso
Azienda_80,Turismo,34,984604,622117,10,29.7,0.6318448838314693,1,0,1,Basso
Azienda_81,Manifattura,32,893523,944118,105,-11.3,1.056624171957521,2,2,4,Alto
Azienda_82,Alimentare,25,596237,1478050,1,-0.2,2.4789639019383234,2,0,2,Medio
Azienda_83,Manifattura,1,1299728,1011293,66,17.9,0.7780804906872822,1,1,2,Medio
Azienda_84,Manifattura,16,1398464,1090654,86,14.8,0.7798942268088417,1,1,2,Medio
Azienda_85,Alimentare,39,750903,1417008,118,-12.3,1.887071965353714,2,2,4,Alto
Azienda_86,Alimentare,5,1993327,607812,11,20.8,0.3049233768468495,0,0,0,Basso
Azienda_87,Alimentare,22,142193,227645,19,-8.8,1.6009578530588706,2,0,2,Medio
Azienda_88,Alimentare,29,1134763,786667,4,-8.8,0.6932434349727652,1,0,1,Basso
Azienda_89,Turismo,3,555950,1353649,36,6.8,2.4348394639805737,2,1,3,Alto
Azienda_90,Tecnologia,12,1236887,1175885,37,9.6,0.9506810242164402,1,1,2,Medio
Azienda_91,Tecnologia,26,960886,1378164,93,9.0,1.4342637940400838,2,2,4,Alto
Azienda_92,Alimentare,16,850921,888266,8,-15.4,1.0438877404600426,2,0,2,Medio
Azienda_93,Tecnologia,37,558153,346699,97,23.9,0.6211540563250578,1,2,3,Alto
Azienda_94,Tecnologia,22,1287665,1384418,52,-6.7,1.075138331786606,2,1,3,Alto
Azienda_95,Alimentare,29,636165,386594,43,-13.5,0.6076945446542956,1,1,2,Medio
Azienda_96,Tecnologia,14,1534917,772608,98,24.4,0.5033549045322971,1,2,3,Alto
Azienda_97,Manifattura,28,1410642,1092501,115,27.8,0.7744707728821345,1,2,3,Alto
Azienda_98,Edilizia,5,668362,1044027,85,23.1,1.5620681606674227,2,1,3,Alto
Azienda_99,Edilizia,30,737409,137023,107,20.5,0.18581682621177664,0,2,2,Medio
Azienda_100,Alimentare,5,611419,1135964,23,12.8,1.857914130898778,2,0,2,Medio
Azienda_101,Turismo,12,690053,532295,80,7.5,0.7713827778446003,1,1,2,Medio
Azienda_102,Alimentare,16,910395,1306378,73,-15.7,1.4349573536761515,2,1,3,Alto
Azienda_103,Turismo,26,1729748,1483624,29,0.4,0.8577110654268715,1,0,1,Basso
Azienda_104,Edilizia,26,175917,58596,119,-1.4,0.33308889987892015,0,2,2,Medio
Azienda_105,Alimentare,21,860717,948027,58,-7.0,1.1014386842597508,2,1,3,Alto
Azienda_106,Manifattura,39,1398346,351005,109,16.2,0.2510144127419108,0,2,2,Medio
Azienda_107,Tecnologia,36,748168,873172,86,4.8,1.1670801210423327,2,1,3,Alto
Azienda_108,Turismo,33,531680,522244,95,-15.9,0.9822524826963587,1,2,3,Alto
Azienda_109,Tecnologia,30,1021375,1461074,80,-9.0,1.4304971239750337,2,1,3,Alto
Azienda_110,Tecnologia,37,331342,679290,113,14.2,2.050117401355699,2,2,4,Alto
Azienda_111,Alimentare,23,589542,499097,114,-16.2,0.8465842976412198,1,2,3,Alto
Azienda_112,Tecnologia,10,1142814,649789,80,22.6,0.568586839153178,1,1,2,Medio
Azienda_113,Manifattura,5,51252,1196632,13,4.8,23.348005931475846,2,0,2,Medio
Azienda_114,Tecnologia,36,876196,1062636,8,4.0,1.212783441147871,2,0,2,Medio
Azienda_115,Alimentare,34,914141,829735,39,9.6,0.9076663228101572,1,1,2,Medio
Azienda_116,Manifattura,31,1584026,1238855,65,21.2,0.7820925919145266,1,1,2,Medio
Azienda_117,Edilizia,10,365826,730406,108,-2.6,1.9965940091737602,2,2,4,Alto
Azienda_118,Tecnologia,19,1420214,1088287,24,13.9,0.7662838135661245,1,0,1,Basso
Azienda_119,Alimentare,32,655605,1191602,102,8.3,1.8175608788828639,2,2,4,Alto
Azienda_120,Edilizia,1,377359,335484,72,-6.6,0.8890313998076103,1,1,2,Medio
Azienda_121,Edilizia,5,1701451,465317,117,23.9,0.2734824570322625,0,2,2,Medio
Azienda_122,Turismo,4,56949,989024,21,19.9,17.366836994503853,2,0,2,Medio
Azienda_123,Manifattura,16,813185,218134,106,12.9,0.2682464629819783,0,2,2,Medio
Azienda_124,Tecnologia,24,367537,1151550,109,22.5,3.133153940963767,2,2,4,Alto
Azienda_125,Alimentare,16,1827489,1198222,3,23.4,0.6556657796572236,1,0,1,Basso
Azienda_126,Turismo,2,712301,1450976,25,15.4,2.0370264817822803,2,0,2,Medio
Azienda_127,Manifattura,28,600222,1198744,57,21.9,1.9971677146122602,2,1,3,Alto
Azienda_128,Turismo,32,830722,689376,28,14.9,0.8298516230459769,1,0,1,Basso
Azienda_129,Manifattura,27,1553678,438774,108,14.0,0.28240986871153484,0,2,2,Medio
Azienda_130,Manifattura,20,1436465,511937,97,10.9,0.35638668536998813,0,2,2,Medio
Azienda_131,Tecnologia,24,526467,411597,86,17.6,0.78180968607719,1,1,2,Medio
Azienda_132,Manifattura,12,406600,914228,36,-12.1,2.2484702410231185,2,1,3,Alto
Azienda_133,Turismo,35,1414133,953959,74,24.0,0.6745893066635175,1,1,2,Medio
Azienda_134,Manifattura,33,1024304,92263,69,23.6,0.09007384526468705,0,1,1,Basso
Azienda_135,Tecnologia,33,1982247,921522,17,-18.5,0.46488757455554225,0,0,0,Basso
Azienda_136,Tecnologia,37,1403038,853938,84,21.3,0.6086349763869546,1,1,2,Medio
Azienda_137,Turismo,12,300875,1272386,41,-13.6,4.228952222683839,2,1,3,Alto
Azienda_138,Edilizia,3,513389,1145222,99,-3.2,2.230710046378088,2,2,4,Alto
Azienda_139,Edilizia,1,120390,345266,40,17.2,2.867896004651549,2,1,3,Alto
Azienda_140,Manifattura,33,757689,480703,37,-12.0,0.6344331249364845,1,1,2,Medio
Azienda_141,Alimentare,10,303490,974323,33,20.9,3.2103957296780785,2,1,3,Alto
Azienda_142,Manifattura,29,1665952,343054,16,21.6,0.20592069879564356,0,0,0,Basso
Azienda_143,Turismo,13,1346516,906862,36,5.4,0.6734877268446866,1,1,2,Medio
Azienda_144,Turismo,12,415340,1316128,24,-19.7,3.168796648528916,2,0,2,Medio
Azienda_145,Turismo,31,483027,1107955,101,-5.6,2.293774468093916,2,2,4,Alto
Azienda_146,Turismo,2,1606617,1073629,75,10.8,0.6682544750864705,1,1,2,Medio
Azienda_147,Turismo,35,1416199,1451238,86,29.1,1.0247415793966808,2,1,3,Alto
Azienda_148,Tecnologia,23,1315040,98723,116,11.6,0.07507224114855822,0,2,2,Medio
Azienda_149,Edilizia,17,1841305,575644,105,-7.0,0.3126282717963618,0,2,2,Medio
Azienda_150,Turismo,26,1609312,1321509,85,11.7,0.8211639508063073,1,1,2,Medio
Azienda_151,Alimentare,8,1904971,853088,84,7.0,0.44782204033552214,0,1,1,Basso
Azienda_152,Alimentare,29,1415843,1080730,26,19.0,0.7633120338907633,1,0,1,Basso
Azienda_153,Alimentare,26,700199,1262518,56,-14.7,1.8030845516774516,2,1,3,Alto
Azienda_154,Alimentare,10,1987476,264480,30,18.1,0.1330733050361363,0,1,1,Basso
Azienda_155,Tecnologia,26,273777,1414397,5,7.1,5.166237485252596,2,0,2,Medio
Azienda_156,Alimentare,34,909909,281173,90,28.1,0.309012219903309,0,2,2,Medio
Azienda_157,Turismo,7,1899396,845633,39,-2.9,0.44521153040229633,0,1,1,Basso
Azienda_158,Manifattura,4,1104145,1080841,97,11.6,0.9788940764120655,1,2,3,Alto
Azienda_159,Alimentare,11,644124,1413636,11,26.6,2.1946643813924025,2,0,2,Medio
Azienda_160,Tecnologia,29,678861,1291898,108,-14.9,1.9030375879598327,2,2,4,Alto
Azienda_161,Tecnologia,36,479802,1034057,52,26.9,2.15517442611744,2,1,3,Alto
Azienda_162,Alimentare,25,308090,1223520,70,14.4,3.9713070855918726,2,1,3,Alto
Azienda_163,Manifattura,21,1765951,1496972,9,-16.6,0.8476860343237157,1,0,1,Basso
Azienda_164,Alimentare,36,1143578,1203358,44,-5.0,1.052274527841564,2,1,3,Alto
Azienda_165,Tecnologia,10,821954,1120483,16,15.4,1.3631942906780672,2,0,2,Medio
Azienda_166,Edilizia,37,711614,202967,25,-16.6,0.28522063927915975,0,0,0,Basso
Azienda_167,Turismo,9,729574,1351351,84,9.1,1.8522466535265785,2,1,3,Alto
Azienda_168,Tecnologia,24,548870,1439758,91,-2.7,2.623131160384062,2,2,4,Alto
Azienda_169,Alimentare,35,1310367,1330823,61,11.0,1.015610893741982,2,1,3,Alto
Azienda_170,Turismo,35,252846,64772,45,-17.7,0.25617174090157646,0,1,1,Basso
Azienda_171,Alimentare,36,1760026,126108,63,23.6,0.07165121424342595,0,1,1,Basso
Azienda_172,Alimentare,18,716997,1062958,1,28.7,1.4825138738376868,2,0,2,Medio
Azienda_173,Edilizia,39,1776351,1132867,53,28.4,0.6377495213502287,1,1,2,Medio
Azienda_174,Turismo,32,1122647,363339,106,17.5,0.3236449213332419,0,2,2,Medio
Azienda_175,Turismo,24,1681107,1331329,64,-13.5,0.7919359088981248,1,1,2,Medio
Azienda_176,Edilizia,23,1078455,147550,50,17.9,0.13681609339286294,0,1,1,Basso
Azienda_177,Tecnologia,32,962259,1280626,52,-18.8,1.3308537514328262,2,1,3,Alto
Azienda_178,Alimentare,37,1993223,432882,35,-18.9,0.2171769039389973,0,1,1,Basso
Azienda_179,Manifattura,12,222312,337827,114,-3.8,1.5196075785382706,2,2,4,Alto
Azienda_180,Alimentare,13,1355794,1047843,25,4.4,0.7728629865599052,1,0,1,Basso
Azienda_181,Alimentare,23,1313455,1435434,28,18.5,1.0928688078388678,2,0,2,Medio
Azienda_182,Tecnologia,25,1462290,595603,20,14.2,0.4073083998386093,0,0,0,Basso
Azienda_183,Alimentare,35,476650,388349,10,2.3,0.8147466694639672,1,0,1,Basso
Azienda_184,Edilizia,30,381868,1062729,39,-6.3,2.782974745199912,2,1,3,Alto
Azienda_185,Edilizia,17,1960705,1026919,10,29.9,0.5237498756824713,1,0,1,Basso
Azienda_186,Turismo,20,1651596,1289349,35,1.3,0.7806685169981037,1,1,2,Medio
Azienda_187,Manifattura,25,1744329,1103894,112,2.6,0.6328473584971642,1,2,3,Alto
Azienda_188,Alimentare,22,978818,394030,58,-11.8,0.4025569615597588,0,1,1,Basso
Azienda_189,Alimentare,13,1515746,1425753,38,19.7,0.94062791523118,1,1,2,Medio
Azienda_190,Tecnologia,19,107108,76077,103,14.7,0.7102830787616238,1,2,3,Alto
Azienda_191,Edilizia,36,1579297,876906,98,-9.0,0.55525084895368,1,2,3,Alto
Azienda_192,Manifattura,12,1209771,133515,53,-15.9,0.11036386225161622,0,1,1,Basso
Azienda_193,Turismo,19,1988089,993497,97,14.0,0.49972460991434486,0,2,2,Medio
Azienda_194,Edilizia,12,1135244,1255564,54,12.7,1.10598602591161,2,1,3,Alto
Azienda_195,Turismo,9,335205,125885,110,-6.3,0.3755463074834803,0,2,2,Medio
Azienda_196,Tecnologia,7,1439972,896209,23,27.5,0.6223794629340015,1,0,1,Basso
Azienda_197,Tecnologia,28,1662613,541656,117,-12.4,0.325785976652414,0,2,2,Medio
Azienda_198,Alimentare,14,180560,670688,21,1.6,3.7144882587505537,2,0,2,Medio
Azienda_199,Manifattura,31,1097172,188014,68,27.2,0.17136237527024023,0,1,1,Basso
Azienda_200,Turismo,19,1465400,91751,55,1.0,0.0626115736317729,0,1,1,Basso
Azienda_201,Edilizia,16,197979,230203,32,11.9,1.1627647376741979,2,1,3,Alto
Azienda_202,Tecnologia,5,1248425,813738,35,-0.1,0.6518116827202275,1,1,2,Medio
Azienda_203,Alimentare,35,798589,695275,110,-6.3,0.870629322467502,1,2,3,Alto
Azienda_204,Alimentare,12,101745,823651,19,29.2,8.095247923730897,2,0,2,Medio
Azienda_205,Turismo,25,1469184,1260527,82,0.5,0.8579776256752047,1,1,2,Medio
Azienda_206,Tecnologia,21,141865,195716,98,24.7,1.3795932752969373,2,2,4,Alto
Azienda_207,Manifattura,36,1997436,584567,115,-8.5,0.2926586884385783,0,2,2,Medio
Azienda_208,Tecnologia,23,1311466,315172,106,-9.3,0.24032037429868558,0,2,2,Medio
Azienda_209,Turismo,16,1122200,890695,80,-18.4,0.7937043307788273,1,1,2,Medio
Azienda_210,Turismo,39,73321,126,61,12.6,0.0017184708337311275,0,1,1,Basso
Azienda_211,Tecnologia,39,453704,838761,108,-1.6,1.8486965069737098,2,2,4,Alto
Azienda_212,Turismo,14,859006,1076208,106,23.2,1.2528527158133935,2,2,4,Alto
Azienda_213,Tecnologia,31,1272869,500315,97,3.7,0.3930608727213877,0,2,2,Medio
Azienda_214,Edilizia,5,977982,1158521,72,28.4,1.1846036021112862,2,1,3,Alto
Azienda_215,Tecnologia,35,1881991,317320,25,-10.7,0.16860867028588342,0,0,0,Basso
Azienda_216,Tecnologia,23,236717,1299445,65,23.4,5.489445202499187,2,1,3,Alto
Azienda_217,Turismo,29,1078202,741426,116,18.8,0.6876503660724057,1,2,3,Alto
Azienda_218,Turismo,11,1479551,498716,72,18.5,0.33707253078805666,0,1,1,Basso
Azienda_219,Alimentare,18,233868,1043917,72,22.2,4.4637017462842286,2,1,3,Alto
Azienda_220,Alimentare,12,709792,1223975,39,18.1,1.7244136310355709,2,1,3,Alto
Azienda_221,Edilizia,9,145257,462120,16,11.3,3.1813957330799894,2,0,2,Medio
Azienda_222,Alimentare,10,638579,1183445,0,-13.4,1.8532476013147943,2,0,2,Medio
Azienda_223,Tecnologia,17,260176,178954,88,-18.4,0.6878190148207367,1,1,2,Medio
Azienda_224,Turismo,38,240471,669078,60,26.0,2.7823646094539467,2,1,3,Alto
Azienda_225,Alimentare,7,964032,1083136,42,10.8,1.1235477660492599,2,1,3,Alto
Azienda_226,Alimentare,13,522930,284260,103,19.8,0.5435909203908745,1,2,3,Alto
Azienda_227,Edilizia,9,1935436,132717,41,4.1,0.06857214601774483,0,1,1,Basso
Azienda_228,Edilizia,27,1841667,1227171,24,-14.1,0.6663370739661405,1,0,1,Basso
Azienda_229,Tecnologia,2,1617438,648373,38,-13.7,0.40086420623232544,0,1,1,Basso
Azienda_230,Turismo,5,1574350,379862,34,14.3,0.24128179883761552,0,1,1,Basso
Azienda_231,Edilizia,29,967559,494592,2,1.5,0.5111750291196713,1,0,1,Basso
Azienda_232,Alimentare,37,685605,1148734,113,-10.0,1.6755041168019487,2,2,4,Alto
Azienda_233,Turismo,38,1238365,1217078,100,4.6,0.9828103991957137,1,2,3,Alto
Azienda_234,Turismo,19,439593,1481074,107,-16.8,3.3691937769709708,2,2,4,Alto
Azienda_235,Alimentare,8,865131,330388,43,9.1,0.3818936091759514,0,1,1,Basso
Azienda_236,Edilizia,1,1172262,318408,50,-6.6,0.271618460719532,0,1,1,Basso
Azienda_237,Alimentare,22,117661,468276,93,19.9,3.9798743848853912,2,2,4,Alto
Azienda_238,Turismo,17,618535,1014920,101,-4.5,1.6408448996418958,2,2,4,Alto
Azienda_239,Manifattura,7,1343697,57545,97,2.8,0.042825875178704724,0,2,2,Medio
Azienda_240,Manifattura,25,1770684,511411,11,-19.4,0.28882115611820064,0,0,0,Basso
Azienda_241,Tecnologia,4,1465833,825656,18,-16.4,0.5632674390602477,1,0,1,Basso
Azienda_242,Alimentare,36,316765,1020020,100,-0.4,3.220115858759648,2,2,4,Alto
Azienda_243,Alimentare,6,1244682,884377,43,4.0,0.7105244552423832,1,1,2,Medio
Azienda_244,Tecnologia,31,1357506,13224,58,10.0,0.00974139340820593,0,1,1,Basso
Azienda_245,Tecnologia,19,710482,40738,48,-5.4,0.05733853918888867,0,1,1,Basso
Azienda_246,Tecnologia,39,854462,942654,60,14.7,1.1032134840402499,2,1,3,Alto
Azienda_247,Turismo,27,919270,1229336,16,23.0,1.3372958978319753,2,0,2,Medio
Azienda_248,Alimentare,10,1969725,1017433,73,19.0,0.5165355569939967,1,1,2,Medio
Azienda_249,Turismo,26,498874,466725,56,-18.0,0.9355568740804291,1,1,2,Medio
Azienda_250,Tecnologia,19,1661502,663937,54,4.0,0.3996004819735396,0,1,1,Basso
Azienda_251,Alimentare,39,903499,1174737,112,-14.8,1.3002084119628246,2,2,4,Alto
Azienda_252,Turismo,3,1073980,844193,46,-7.9,0.7860416395091157,1,1,2,Medio
Azienda_253,Turismo,13,168033,298512,11,29.3,1.7765081858920568,2,0,2,Medio
Azienda_254,Tecnologia,28,680265,662143,61,-12.9,0.9733603816159879,1,1,2,Medio
Azienda_255,Alimentare,20,663157,566202,79,4.9,0.8537978186161045,1,1,2,Medio
Azienda_256,Tecnologia,28,1728050,1250155,87,10.9,0.7234483955904054,1,1,2,Medio
Azienda_257,Alimentare,8,871106,652026,82,15.1,0.7485036264243388,1,1,2,Medio
Azienda_258,Manifattura,39,1265502,996530,7,8.0,0.7874582576716591,1,0,1,Basso
Azienda_259,Edilizia,1,1669135,771253,94,-19.5,0.46206747806498577,0,2,2,Medio
Azienda_260,Edilizia,3,910120,504471,20,-3.7,0.5542906429921329,1,0,1,Basso
Azienda_261,Edilizia,13,481734,1378246,80,5.9,2.861010433143602,2,1,3,Alto
Azienda_262,Tecnologia,28,1471796,806388,86,-15.6,0.5478938657259566,1,1,2,Medio
Azienda_263,Manifattura,25,715627,1267543,100,-2.5,1.771234176463437,2,2,4,Alto
Azienda_264,Alimentare,33,271897,383152,117,-18.3,1.4091806823907582,2,2,4,Alto
Azienda_265,Turismo,38,51062,954652,79,-16.1,18.69593827112138,2,1,3,Alto
Azienda_266,Alimentare,6,1346312,94270,69,-0.2,0.0700209163997647,0,1,1,Basso
Azienda_267,Turismo,32,1673312,1045482,71,-13.4,0.6247980053928974,1,1,2,Medio
Azienda_268,Alimentare,21,145462,1195889,24,8.4,8.221315532578956,2,0,2,Medio
Azienda_269,Manifattura,16,1498021,158768,81,14.5,0.10598516309183917,0,1,1,Basso
Azienda_270,Turismo,21,1548585,1295302,88,20.0,0.836442300551794,1,1,2,Medio
Azienda_271,Tecnologia,11,820173,570451,11,-10.0,0.695525212363733,1,0,1,Basso
Azienda_272,Alimentare,37,622203,19816,14,-11.6,0.031848126736772404,0,0,0,Basso
Azienda_273,Alimentare,36,1365352,967344,58,-14.8,0.7084942198055886,1,1,2,Medio
Azienda_274,Turismo,35,1727456,757907,25,11.8,0.4387417103532594,0,0,0,Basso
Azienda_275,Tecnologia,19,708956,314997,104,15.3,0.44431107149103755,0,2,2,Medio
Azienda_276,Tecnologia,20,1470499,1204565,108,-18.4,0.8191539062590318,1,2,3,Alto
Azienda_277,Manifattura,18,1497960,1255100,25,26.8,0.8378728403962723,1,0,1,Basso
Azienda_278,Tecnologia,14,1730963,1038896,46,-17.4,0.6001838283082885,1,1,2,Medio
Azienda_279,Tecnologia,15,581849,1200454,31,7.1,2.0631710289095624,2,1,3,Alto
Azienda_280,Tecnologia,31,517010,730880,9,15.5,1.413667047059051,2,0,2,Medio
Azienda_281,Edilizia,1,1705016,781452,15,23.5,0.458325317768279,0,0,0,Basso
Azienda_282,Manifattura,3,1747900,1483741,70,15.7,0.8488706447737284,1,1,2,Medio
Azienda_283,Alimentare,16,436193,133554,16,20.1,0.30618097952053336,0,0,0,Basso
Azienda_284,Turismo,23,76734,451282,22,-3.0,5.881121797377955,2,0,2,Medio
Azienda_285,Alimentare,11,973875,1142077,25,20.7,1.1727141573610576,2,0,2,Medio
Azienda_286,Manifattura,12,76069,264223,84,-16.0,3.473464880568957,2,1,3,Alto
Azienda_287,Turismo,10,1833841,1108252,85,24.7,0.6043337454010462,1,1,2,Medio
Azienda_288,Manifattura,32,587198,1222108,6,7.4,2.0812536827441512,2,0,2,Medio
Azienda_289,Tecnologia,16,1434199,597135,13,20.9,0.41635435528821313,0,0,0,Basso
Azienda_290,Turismo,8,520951,220178,78,2.6,0.4226462757533818,0,1,1,Basso
Azienda_291,Tecnologia,38,131264,1198097,116,12.2,9.12738450755729,2,2,4,Alto
Azienda_292,Alimentare,12,73275,426752,6,6.3,5.823978164448993,2,0,2,Medio
Azienda_293,Alimentare,24,646562,588365,8,16.6,0.9099900705578119,1,0,1,Basso
Azienda_294,Turismo,28,1573241,824690,114,-15.9,0.5241981362041798,1,2,3,Alto
