nome_azienda,settore,anni_attivita,fatturato,debiti,ritardo_medio_pagamenti,crescita_fatturato
Azienda_46,Alimentare,2,856741,947609,77,-5.2
Azienda_47,Edilizia,32,319114,64323,31,-8.3
Azienda_48,Manifattura,23,1433194,616210,119,-17.9
Azienda_49,Edilizia,22,1054208,1237715,45,-19.1
Azienda_50,Turismo,25,1931548,1229024,106,29.4
Azienda_51,Turismo,22,201456,954480,15,1.4
Azienda_52,Turismo,22,1903025,235659,67,-0.8
Azienda_53,Turismo,6,912312,389678,115,14.0
Azienda_54,Manifattura,15,1204146,854016,36,-9.1
Azienda_55,Tecnologia,37,320846,1153113,53,27.5
Azienda_56,Alimentare,33,50404,864909,84,19.3
Azienda_57,Turismo,8,1008447,241983,13,-15.5
Azienda_58,Edilizia,5,753286,788260,94,0.9
Azienda_59,Turismo,39,1373483,1050493,54,24.0
Azienda_60,Edilizia,4,1772320,282762,47,27.2
Azienda_61,Edilizia,6,765460,786275,81,3.4
Azienda_62,Turismo,32,934574,1416012,6,10.7
Azienda_63,Manifattura,30,1763796,571650,73,-11.6
Azienda_64,Edilizia,35,285365,282272,6,29.6
Azienda_65,Edilizia,16,392786,385925,32,-8.4
Azienda_66,Turismo,13,1149188,766641,22,27.1
Azienda_67,Edilizia,30,860006,714743,84,12.5
Azienda_68,Edilizia,19,1908532,589833,18,10.4
Azienda_69,Turismo,17,250244,1130756,111,5.6
Azienda_70,Turismo,19,1895924,403081,18,-8.5
Azienda_71,Alimentare,28,1103385,919723,35,-11.2
Azienda_72,Manifattura,26,213273,301953,28,-9.0
Azienda_73,Manifattura,37,1807266,378892,59,-10.7
Azienda_74,Edilizia,26,1243104,5287,81,19.0
Azienda_75,Manifattura,23,1605540,1306241,1,-2.5
Azienda_76,Edilizia,9,1548189,1057088,0,-17.1
Azienda_77,Alimentare,12,1137341,656702,46,28.5
Azienda_78,Turismo,1,1930114,1157448,68,24.2
Azienda_79,Turismo,1,1414652,93070,19,26.4
Azienda_80,Turismo,34,984604,622117,10,29.7
Azienda_81,Manifattura,32,893523,944118,105,-11.3
Azienda_82,Alimentare,25,596237,1478050,1,-0.2
Azienda_83,Manifattura,1,1299728,1011293,66,17.9
Azienda_84,Manifattura,16,1398464,1090654,86,14.8
Azienda_85,Alimentare,39,750903,1417008,118,-12.3
Azienda_86,Alimentare,5,1993327,607812,11,20.8
Azienda_87,Alimentare,22,142193,227645,19,-8.8
Azienda_88,Alimentare,29,1134763,786667,4,-8.8
Azienda_89,Turismo,3,555950,1353649,36,6.8
Azienda_90,Tecnologia,12,1236887,1175885,37,9.6
Azienda_91,Tecnologia,26,960886,1378164,93,9.0
Azienda_92,Alimentare,16,850921,888266,8,-15.4
Azienda_93,Tecnologia,37,558153,346699,97,23.9
Azienda_94,Tecnologia,22,1287665,1384418,52,-6.7
Azienda_95,Alimentare,29,636165,386594,43,-13.5
Azienda_96,Tecnologia,14,1534917,772608,98,24.4
Azienda_97,Manifattura,28,1410642,1092501,115,27.8
Azienda_98,Edilizia,5,668362,1044027,85,23.1
Azienda_99,Edilizia,30,737409,137023,107,20.5
Azienda_100,Alimentare,5,611419,1135964,23,12.8
Azienda_101,Turismo,12,690053,532295,80,7.5
Azienda_102,Alimentare,16,910395,1306378,73,-15.7
Azienda_103,Turismo,26,1729748,1483624,29,0.4
Azienda_104,Edilizia,26,175917,58596,119,-1.4
Azienda_105,Alimentare,21,860717,948027,58,-7.0
Azienda_106,Manifattura,39,1398346,351005,109,16.2
Azienda_107,Tecnologia,36,748168,873172,86,4.8
Azienda_108,Turismo,33,531680,522244,95,-15.9
Azienda_109,Tecnologia,30,1021375,1461074,80,-9.0
Azienda_110,Tecnologia,37,331342,679290,113,14.2
Azienda_111,Alimentare,23,589542,499097,114,-16.2
Azienda_112,Tecnologia,10,1142814,649789,80,22.6
Azienda_113,Manifattura,5,51252,1196632,13,4.8
Azienda_114,Tecnologia,36,876196,1062636,8,4.0
Azienda_115,Alimentare,34,914141,829735,39,9.6
Azienda_116,Manifattura,31,1584026,1238855,65,21.2
Azienda_117,Edilizia,10,365826,730406,108,-2.6
Azienda_118,Tecnologia,19,1420214,1088287,24,13.9
Azienda_119,Alimentare,32,655605,1191602,102,8.3
Azienda_120,Edilizia,1,377359,335484,72,-6.6
Azienda_121,Edilizia,5,1701451,465317,117,23.9
Azienda_122,Turismo,4,56949,989024,21,19.9
Azienda_123,Manifattura,16,813185,218134,106,12.9
Azienda_124,Tecnologia,24,367537,1151550,109,22.5
Azienda_125,Alimentare,16,1827489,1198222,3,23.4
Azienda_126,Turismo,2,712301,1450976,25,15.4
Azienda_127,Manifattura,28,600222,1198744,57,21.9
Azienda_128,Turismo,32,830722,689376,28,14.9
Azienda_129,Manifattura,27,1553678,438774,108,14.0
Azienda_130,Manifattura,20,1436465,511937,97,10.9
Azienda_131,Tecnologia,24,526467,411597,86,17.6
Azienda_132,Manifattura,12,406600,914228,36,-12.1
Azienda_133,Turismo,35,1414133,953959,74,24.0
Azienda_134,Manifattura,33,1024304,92263,69,23.6
Azienda_135,Tecnologia,33,1982247,921522,17,-18.5
Azienda_136,Tecnologia,37,1403038,853938,84,21.3
Azienda_137,Turismo,12,300875,1272386,41,-13.6
Azienda_138,Edilizia,3,513389,1145222,99,-3.2
Azienda_139,Edilizia,1,120390,345266,40,17.2
Azienda_140,Manifattura,33,757689,480703,37,-12.0
Azienda_141,Alimentare,10,303490,974323,33,20.9
Azienda_142,Manifattura,29,1665952,343054,16,21.6
Azienda_143,Turismo,13,1346516,906862,36,5.4
Azienda_144,Turismo,12,415340,1316128,24,-19.7
Azienda_145,Turismo,31,483027,1107955,101,-5.6
Azienda_146,Turismo,2,1606617,1073629,75,10.8
Azienda_147,Turismo,35,1416199,1451238,86,29.1
Azienda_148,Tecnologia,23,1315040,98723,116,11.6
Azienda_149,Edilizia,17,1841305,575644,105,-7.0
Azienda_150,Turismo,26,1609312,1321509,85,11.7
Azienda_151,Alimentare,8,1904971,853088,84,7.0
Azienda_152,Alimentare,29,1415843,1080730,26,19.0
Azienda_153,Alimentare,26,700199,1262518,56,-14.7
Azienda_154,Alimentare,10,1987476,264480,30,18.1
Azienda_155,Tecnologia,26,273777,1414397,5,7.1
Azienda_156,Alimentare,34,909909,281173,90,28.1
Azienda_157,Turismo,7,1899396,845633,39,-2.9
Azienda_158,Manifattura,4,1104145,1080841,97,11.6
Azienda_159,Alimentare,11,644124,1413636,11,26.6
Azienda_160,Tecnologia,29,678861,1291898,108,-14.9
Azienda_161,Tecnologia,36,479802,1034057,52,26.9
Azienda_162,Alimentare,25,308090,1223520,70,14.4
Azienda_163,Manifattura,21,1765951,1496972,9,-16.6
Azienda_164,Alimentare,36,1143578,1203358,44,-5.0
Azienda_165,Tecnologia,10,821954,1120483,16,15.4
Azienda_166,Edilizia,37,711614,202967,25,-16.6
Azienda_167,Turismo,9,729574,1351351,84,9.1
Azienda_168,Tecnologia,24,548870,1439758,91,-2.7
Azienda_169,Alimentare,35,1310367,1330823,61,11.0
Azienda_170,Turismo,35,252846,64772,45,-17.7
Azienda_171,Alimentare,36,1760026,126108,63,23.6
Azienda_172,Alimentare,18,716997,1062958,1,28.7
Azienda_173,Edilizia,39,1776351,1132867,53,28.4
Azienda_174,Turismo,32,1122647,363339,106,17.5
Azienda_175,Turismo,24,1681107,1331329,64,-13.5
Azienda_176,Edilizia,23,1078455,147550,50,17.9
Azienda_177,Tecnologia,32,962259,1280626,52,-18.8
Azienda_178,Alimentare,37,1993223,432882,35,-18.9
Azienda_179,Manifattura,12,222312,337827,114,-3.8
Azienda_180,Alimentare,13,1355794,1047843,25,4.4
Azienda_181,Alimentare,23,1313455,1435434,28,18.5
Azienda_182,Tecnologia,25,1462290,595603,20,14.2
Azienda_183,Alimentare,35,476650,388349,10,2.3
Azienda_184,Edilizia,30,381868,1062729,39,-6.3
Azienda_185,Edilizia,17,1960705,1026919,10,29.9
Azienda_186,Turismo,20,1651596,1289349,35,1.3
Azienda_187,Manifattura,25,1744329,1103894,112,2.6
Azienda_188,Alimentare,22,978818,394030,58,-11.8
Azienda_189,Alimentare,13,1515746,1425753,38,19.7
Azienda_190,Tecnologia,19,107108,76077,103,14.7
Azienda_191,Edilizia,36,1579297,876906,98,-9.0
Azienda_192,Manifattura,12,1209771,133515,53,-15.9
Azienda_193,Turismo,19,1988089,993497,97,14.0
Azienda_194,Edilizia,12,1135244,1255564,54,12.7
Azienda_195,Turismo,9,335205,125885,110,-6.3
Azienda_196,Tecnologia,7,1439972,896209,23,27.5
Azienda_197,Tecnologia,28,1662613,541656,117,-12.4
Azienda_198,Alimentare,14,180560,670688,21,1.6
Azienda_199,Manifattura,31,1097172,188014,68,27.2
Azienda_200,Turismo,19,1465400,91751,55,1.0
Azienda_201,Edilizia,16,197979,230203,32,11.9
Azienda_202,Tecnologia,5,1248425,813738,35,-0.1
Azienda_203,Alimentare,35,798589,695275,110,-6.3
Azienda_204,Alimentare,12,101745,823651,19,29.2
Azienda_205,Turismo,25,1469184,1260527,82,0.5
Azienda_206,Tecnologia,21,141865,195716,98,24.7
Azienda_207,Manifattura,36,1997436,584567,115,-8.5
Azienda_208,Tecnologia,23,1311466,315172,106,-9.3
Azienda_209,Turismo,16,1122200,890695,80,-18.4
Azienda_210,Turismo,39,73321,126,61,12.6
Azienda_211,Tecnologia,39,453704,838761,108,-1.6
Azienda_212,Turismo,14,859006,1076208,106,23.2
Azienda_213,Tecnologia,31,1272869,500315,97,3.7
Azienda_214,Edilizia,5,977982,1158521,72,28.4
Azienda_215,Tecnologia,35,1881991,317320,25,-10.7
Azienda_216,Tecnologia,23,236717,1299445,65,23.4
Azienda_217,Turismo,29,1078202,741426,116,18.8
Azienda_218,Turismo,11,1479551,498716,72,18.5
Azienda_219,Alimentare,18,233868,1043917,72,22.2
Azienda_220,Alimentare,12,709792,1223975,39,18.1
Azienda_221,Edilizia,9,145257,462120,16,11.3
Azienda_222,Alimentare,10,638579,1183445,0,-13.4
Azienda_223,Tecnologia,17,260176,178954,88,-18.4
Azienda_224,Turismo,38,240471,669078,60,26.0
Azienda_225,Alimentare,7,964032,1083136,42,10.8
Azienda_226,Alimentare,13,522930,284260,103,19.8
Azienda_227,Edilizia,9,1935436,132717,41,4.1
Azienda_228,Edilizia,27,1841667,1227171,24,-14.1
Azienda_229,Tecnologia,2,1617438,648373,38,-13.7
Azienda_230,Turismo,5,1574350,379862,34,14.3
Azienda_231,Edilizia,29,967559,494592,2,1.5
Azienda_232,Alimentare,37,685605,1148734,113,-10.0
Azienda_233,Turismo,38,1238365,1217078,100,4.6
Azienda_234,Turismo,19,439593,1481074,107,-16.8
Azienda_235,Alimentare,8,865131,330388,43,9.1
Azienda_236,Edilizia,1,1172262,318408,50,-6.6
Azienda_237,Alimentare,22,117661,468276,93,19.9
Azienda_238,Turismo,17,618535,1014920,101,-4.5
Azienda_239,Manifattura,7,1343697,57545,97,2.8
Azienda_240,Manifattura,25,1770684,511411,11,-19.4
Azienda_241,Tecnologia,4,1465833,825656,18,-16.4
Azienda_242,Alimentare,36,316765,1020020,100,-0.4
Azienda_243,Alimentare,6,1244682,884377,43,4.0
Azienda_244,Tecnologia,31,1357506,13224,58,10.0
Azienda_245,Tecnologia,19,710482,40738,48,-5.4
Azienda_246,Tecnologia,39,854462,942654,60,14.7
Azienda_247,Turismo,27,919270,1229336,16,23.0
Azienda_248,Alimentare,10,1969725,1017433,73,19.0
Azienda_249,Turismo,26,498874,466725,56,-18.0
Azienda_250,Tecnologia,19,1661502,663937,54,4.0
Azienda_251,Alimentare,39,903499,1174737,112,-14.8
Azienda_252,Turismo,3,1073980,844193,46,-7.9
Azienda_253,Turismo,13,168033,298512,11,29.3
Azienda_254,Tecnologia,28,680265,662143,61,-12.9
Azienda_255,Alimentare,20,663157,566202,79,4.9
Azienda_256,Tecnologia,28,1728050,1250155,87,10.9
Azienda_257,Alimentare,8,871106,652026,82,15.1
Azienda_258,Manifattura,39,1265502,996530,7,8.0
Azienda_259,Edilizia,1,1669135,771253,94,-19.5
Azienda_260,Edilizia,3,910120,504471,20,-3.7
Azienda_261,Edilizia,13,481734,1378246,80,5.9
Azienda_262,Tecnologia,28,1471796,806388,86,-15.6
Azienda_263,Manifattura,25,715627,1267543,100,-2.5
Azienda_264,Alimentare,33,271897,383152,117,-18.3
Azienda_265,Turismo,38,51062,954652,79,-16.1
Azienda_266,Alimentare,6,1346312,94270,69,-0.2
Azienda_267,Turismo,32,1673312,1045482,71,-13.4
Azienda_268,Alimentare,21,145462,1195889,24,8.4
Azienda_269,Manifattura,16,1498021,158768,81,14.5
Azienda_270,Turismo,21,1548585,1295302,88,20.0
Azienda_271,Tecnologia,11,820173,570451,11,-10.0
Azienda_272,Alimentare,37,622203,19816,14,-11.6
Azienda_273,Alimentare,36,1365352,967344,58,-14.8
Azienda_274,Turismo,35,1727456,757907,25,11.8
Azienda_275,Tecnologia,19,708956,314997,104,15.3
Azienda_276,Tecnologia,20,1470499,1204565,108,-18.4
Azienda_277,Manifattura,18,1497960,1255100,25,26.8
Azienda_278,Tecnologia,14,1730963,1038896,46,-17.4
Azienda_279,Tecnologia,15,581849,1200454,31,7.1
Azienda_280,Tecnologia,31,517010,730880,9,15.5
Azienda_281,Edilizia,1,1705016,781452,15,23.5
Azienda_282,Manifattura,3,1747900,1483741,70,15.7
Azienda_283,Alimentare,16,436193,133554,16,20.1
Azienda_284,Turismo,23,76734,451282,22,-3.0
Azienda_285,Alimentare,11,973875,1142077,25,20.7
Azienda_286,Manifattura,12,76069,264223,84,-16.0
Azienda_287,Turismo,10,1833841,1108252,85,24.7
Azienda_288,Manifattura,32,587198,1222108,6,7.4
Azienda_289,Tecnologia,16,1434199,597135,13,20.9
Azienda_290,Turismo,8,520951,220178,78,2.6
Azienda_291,Tecnologia,38,131264,1198097,116,12.2
Azienda_292,Alimentare,12,73275,426752,6,6.3
Azienda_293,Alimentare,24,646562,588365,8,16.6
Azienda_294,Turismo,28,1573241,824690,114,-15.9
Azienda_295,Turismo,8,412920,703662,47,-17.0
Azienda_296,Manifattura,28,241076,1305585,71,-7.6
Azienda_297,Manifattura,36,1292629,1186293,113,-12.0
Azienda_298,Tecnologia,26,1052163,1430491,58,23.6
Azienda_299,Turismo,8,1808489,562288,86,-9.0
Azienda_300,Alimentare,28,622735,300709,92,28.8
